tileid,class,quantile
135952,2,0.472
135960,1,0.021
136008,1,0.03
136010,1,0.001
136092,3,0.632
136093,4,1.0
136094,4,1.0
136096,1,0.02
136132,4,1.0
136133,4,1.0
136134,1,0.039
136181,4,0.999
136183,4,0.999
136184,2,0.347
136480,2,0.102
136495,2,0.118
136496,2,0.101
136617,1,0.054
136618,1,0.051
136623,1,0.011
136630,1,0.094
136634,3,0.797
136635,3,0.796
136636,3,0.648
136637,1,0.017
136643,2,0.492
136645,4,1.0
136647,1,0.043
136648,2,0.331
136649,2,0.179
136650,1,0.06
136651,1,0.018
136652,1,0.023
136653,1,0.032
136654,1,0.088
136655,4,1.0
136656,4,1.0
136657,1,0.082
136658,3,0.63
136659,4,1.0
136660,4,1.0
136714,2,0.297
136800,4,0.991
136802,4,1.0
136803,4,1.0
136804,1,0.01
136837,1,0.0
136839,4,1.0
136840,4,1.0
136841,4,1.0
136890,4,0.999
137184,1,0.037
137187,2,0.189
137204,3,0.828
137221,1,0.055
137223,1,0.027
137322,1,0.001
137327,4,1.0
137357,2,0.262
137358,2,0.253
137359,3,0.745
137365,1,0.062
137366,2,0.468
137502,2,0.153
137503,4,1.0
137504,3,0.865
137508,1,0.023
137509,4,1.0
137511,2,0.267
137545,2,0.336
137546,4,0.992
137547,4,1.0
137548,4,1.0
137549,4,1.0
137596,4,0.999
137597,2,0.432
137598,1,0.074
137897,1,0.051
137905,2,0.157
137913,2,0.336
137914,3,0.783
137916,1,0.042
137928,2,0.254
138030,4,1.0
138031,4,1.0
138032,4,1.0
138034,4,0.999
138036,4,1.0
138063,1,0.027
138065,4,1.0
138066,2,0.114
138070,4,1.0
138071,1,0.097
138072,1,0.077
138073,4,1.0
138074,2,0.101
138075,4,1.0
138076,4,1.0
138079,1,0.035
138080,4,1.0
138081,4,1.0
138089,1,0.033
138134,1,0.003
138135,2,0.155
138210,2,0.347
138211,1,0.027
138212,1,0.064
138213,1,0.036
138253,4,1.0
138255,4,1.0
138256,4,1.0
138266,4,1.0
138267,4,1.0
138307,2,0.437
138605,1,0.077
138606,1,0.044
138613,3,0.778
138614,1,0.054
138623,1,0.053
138625,1,0.027
138626,2,0.372
138636,2,0.102
138744,1,0.04
138753,1,0.03
138763,1,0.034
138770,2,0.104
138776,4,1.0
138777,4,1.0
138778,4,1.0
138779,1,0.055
138780,1,0.09
138781,4,1.0
138782,4,1.0
138783,4,1.0
138784,2,0.138
138787,4,1.0
138788,4,1.0
138789,1,0.082
138790,4,1.0
138791,1,0.019
138796,2,0.333
138797,2,0.36
138842,1,0.002
138917,4,1.0
138918,4,1.0
138919,3,0.853
138920,4,1.0
138921,4,0.965
138922,1,0.025
138963,4,0.971
138964,4,1.0
138974,4,1.0
138975,4,1.0
138976,4,1.0
138977,4,1.0
139011,2,0.462
139304,2,0.36
139305,3,0.626
139333,2,0.357
139334,1,0.036
139335,2,0.484
139336,3,0.752
139338,1,0.053
139345,2,0.106
139346,1,0.07
139445,1,0.009
139446,2,0.101
139462,4,1.0
139471,3,0.732
139475,4,1.0
139476,4,1.0
139479,4,1.0
139485,1,0.067
139486,2,0.121
139488,4,1.0
139489,4,1.0
139490,2,0.233
139491,4,1.0
139492,4,1.0
139495,2,0.442
139496,4,1.0
139625,3,0.662
139626,4,1.0
139627,3,0.837
139628,4,1.0
139629,1,0.025
139632,1,0.013
139633,1,0.095
139670,2,0.465
139682,4,1.0
139683,4,1.0
139684,4,1.0
139685,4,1.0
139686,4,1.0
139720,2,0.469
140012,3,0.503
140013,4,1.0
140029,1,0.001
140030,1,0.061
140034,1,0.049
140038,1,0.041
140042,2,0.107
140043,2,0.142
140044,1,0.06
140045,1,0.041
140046,2,0.126
140047,1,0.043
140048,4,0.968
140051,1,0.032
140052,2,0.134
140155,4,1.0
140162,1,0.019
140175,2,0.107
140183,4,1.0
140187,4,1.0
140190,4,1.0
140191,1,0.033
140195,2,0.114
140196,4,1.0
140197,4,1.0
140198,4,1.0
140200,2,0.138
140201,4,1.0
140203,4,0.997
140204,4,1.0
140205,4,1.0
140206,4,1.0
140207,1,0.061
140333,4,1.0
140335,2,0.296
140336,1,0.035
140337,3,0.893
140338,2,0.149
140339,2,0.293
140379,4,1.0
140390,4,1.0
140391,2,0.134
140392,4,0.955
140393,4,1.0
140394,4,1.0
140395,1,0.008
140426,4,0.998
140428,1,0.007
140739,1,0.025
140745,1,0.046
140755,1,0.005
140761,2,0.114
140762,3,0.774
