tileid,class_1000,quantile_1000,class_rybski,quantile_rybski,class_marco,quantile_marco,class_truth,quantile_truth
194729,1,0.008,1,0.022000000000000002,1,0.04,1,0.048
194730,1,0.05,1,0.024,1,0.005,1,0.038
194731,1,0.055,1,0.018000000000000002,1,0.01,1,0.04
194732,1,0.057999999999999996,1,0.023,1,0.033,2,0.151
194733,2,0.106,1,0.011000000000000001,1,0.006999999999999999,1,0.034
194734,1,0.040999999999999995,1,0.008,1,0.036000000000000004,1,0.08199999999999999
194735,1,0.046,1,0.017,1,0.071,1,0.094
194736,2,0.21100000000000002,2,0.147,1,0.061,2,0.254
194737,2,0.162,1,0.027000000000000003,1,0.019,1,0.091
194738,2,0.24,1,0.01,1,0.024,1,0.07
194739,1,0.076,1,0.011000000000000001,1,0.008,1,0.02
194740,1,0.004,1,0.01,1,0.005,1,0.022000000000000002
194741,1,0.083,1,0.012,1,0.011000000000000001,1,0.044000000000000004
194742,2,0.493,2,0.27,3,0.826,4,0.937
194743,4,1.0,4,1.0,4,1.0,4,1.0
194745,2,0.43799999999999994,1,0.071,2,0.39899999999999997,4,0.9940000000000001
194746,1,0.038,1,0.013000000000000001,1,0.086,2,0.34
194747,3,0.6679999999999999,1,0.044000000000000004,2,0.267,3,0.899
194748,1,0.08900000000000001,1,0.012,1,0.05,2,0.439
194749,2,0.35,1,0.016,2,0.496,4,0.983
194750,3,0.741,1,0.053,4,0.948,4,0.909
194751,4,0.951,2,0.264,4,0.904,4,1.0
194752,4,1.0,2,0.322,4,1.0,4,1.0
194753,3,0.755,1,0.054000000000000006,4,0.951,4,0.998
194754,4,0.937,1,0.064,4,0.98,4,1.0
194755,2,0.361,1,0.019,2,0.142,3,0.8440000000000001
194756,3,0.6,1,0.013999999999999999,3,0.718,3,0.851
194757,2,0.34600000000000003,1,0.052000000000000005,2,0.491,3,0.862
194758,3,0.772,1,0.062,3,0.731,3,0.88
194759,4,0.966,1,0.037000000000000005,3,0.733,4,0.924
194760,4,0.9790000000000001,2,0.265,4,0.953,4,0.948
194761,2,0.242,1,0.055,2,0.168,3,0.528
194762,2,0.488,2,0.15,3,0.59,3,0.507
194763,4,0.9470000000000001,1,0.036000000000000004,2,0.16699999999999998,2,0.41200000000000003
194764,4,0.95,2,0.27399999999999997,4,0.9079999999999999,4,0.9259999999999999
194765,2,0.174,1,0.027999999999999997,2,0.157,2,0.47
194766,1,0.018000000000000002,1,0.01,1,0.061,1,0.081
194767,1,0.022000000000000002,1,0.01,1,0.08199999999999999,1,0.023
194768,1,0.075,1,0.019,1,0.049,2,0.13
