tileid,class,quantile
143879,1,0.041
143880,1,0.079
143881,1,0.013
143920,3,0.832
143922,1,0.073
143923,1,0.06
143924,4,1.0
143925,4,0.928
143930,3,0.599
143936,2,0.12
143937,1,0.064
143939,2,0.256
144252,2,0.308
144395,2,0.185
144439,2,0.208
144443,2,0.278
144494,2,0.119
144496,1,0.027
144578,2,0.471
144580,4,0.999
144581,4,1.0
144582,4,1.0
144583,2,0.337
144584,2,0.187
144585,2,0.276
144587,3,0.831
144588,1,0.093
144589,1,0.018
144628,1,0.072
144630,1,0.041
144631,2,0.271
144633,4,0.963
144634,2,0.263
144635,2,0.195
144636,3,0.535
144637,1,0.078
144645,2,0.116
144646,4,0.964
144647,2,0.12
144675,3,0.715
144676,3,0.728
144718,2,0.21
144957,2,0.14
144958,2,0.113
144959,2,0.441
145104,3,0.896
145105,2,0.332
145141,1,0.043
145204,1,0.051
145225,2,0.306
145286,4,1.0
145287,4,1.0
145288,2,0.251
145289,4,0.993
145290,4,0.995
145291,2,0.289
145295,1,0.094
145296,2,0.439
145336,1,0.095
145337,1,0.02
145338,1,0.045
145339,4,1.0
145340,4,0.986
145341,4,1.0
145342,2,0.167
145343,2,0.116
145352,3,0.561
145353,2,0.205
145354,3,0.73
145355,2,0.127
145378,2,0.25
145379,2,0.102
145380,2,0.342
145383,2,0.432
145663,2,0.152
145670,2,0.459
145811,2,0.366
145812,3,0.588
145909,2,0.108
145910,2,0.205
145911,2,0.273
145912,2,0.103
145915,2,0.176
145993,1,0.042
145995,2,0.222
145996,2,0.163
145997,1,0.053
146004,1,0.086
146043,3,0.741
146044,2,0.169
146045,1,0.045
146046,1,0.031
146047,3,0.643
146048,3,0.723
146049,2,0.418
146050,2,0.411
146051,2,0.18
146060,3,0.62
146062,3,0.71
146063,2,0.271
146086,1,0.03
146087,1,0.032
146368,2,0.172
146369,3,0.815
146370,3,0.808
146371,1,0.027
146372,2,0.103
146373,2,0.333
146518,1,0.084
146519,2,0.419
146521,2,0.297
146618,1,0.015
146619,1,0.075
146651,3,0.737
146701,1,0.036
146703,1,0.034
146704,2,0.215
146705,1,0.055
146708,2,0.231
146709,1,0.036
146710,2,0.124
146712,1,0.04
146752,3,0.719
146753,1,0.048
146754,1,0.028
146755,3,0.622
146756,2,0.121
146757,1,0.061
146758,3,0.862
146759,3,0.507
146760,3,0.517
146761,3,0.634
146762,4,1.0
146763,2,0.148
146764,1,0.099
146768,4,0.96
146770,2,0.18
146793,1,0.048
146794,1,0.035
146795,1,0.017
147077,4,1.0
147078,4,1.0
147084,1,0.035
147085,2,0.153
147227,4,0.995
147325,1,0.029
147326,1,0.055
147332,2,0.469
147333,2,0.176
147349,2,0.117
147408,1,0.028
147410,2,0.122
147411,2,0.108
147412,2,0.434
147413,1,0.044
147414,2,0.115
147415,1,0.033
147417,1,0.006
147420,1,0.045
147460,3,0.743
147461,2,0.173
147462,3,0.661
147463,4,1.0
147464,3,0.869
147465,2,0.248
147466,2,0.305
147467,2,0.159
147468,2,0.318
147469,2,0.319
147470,4,1.0
147471,4,1.0
147472,3,0.86
147478,2,0.143
147501,2,0.108
147502,1,0.016
147785,4,1.0
147793,2,0.352
148033,1,0.009
148034,1,0.03
148066,2,0.12
148070,4,1.0
148116,1,0.074
148117,2,0.108
148118,1,0.036
148119,3,0.826
148120,2,0.482
148122,1,0.036
148123,1,0.037
148124,1,0.023
148125,1,0.027
148128,1,0.052
148129,2,0.135
148167,2,0.139
148168,2,0.121
148169,2,0.138
148170,4,1.0
148171,3,0.616
148172,3,0.564
148173,2,0.499
148174,2,0.3
148175,2,0.389
148176,2,0.162
148177,2,0.167
148178,4,0.98
148179,4,1.0
148185,1,0.042
148209,2,0.126
148210,2,0.135
148486,1,0.044
148492,2,0.145
148825,2,0.432
148826,4,1.0
148827,2,0.13
148828,1,0.099
148829,2,0.225
